region_of_residence,administration,gender,max_age,age_group,min_age,authentication_method,number_of_occurrences
abruzzo,a.o. s. giovanni addolorata,0,34.0,25-34,25,spid,2
abruzzo,a.o. s. giovanni addolorata,1,34.0,25-34,25,spid,3
abruzzo,a.o.r.n. antonio cardarelli,1,44.0,35-44,35,spid,3
abruzzo,a.o.r.n. antonio cardarelli,1,54.0,45-54,45,spid,2
abruzzo,agenzia del demanio,0,44.0,35-44,35,spid,3
abruzzo,agenzia del demanio,0,54.0,45-54,45,cie,2
abruzzo,agenzia del demanio,0,54.0,45-54,45,spid,10
abruzzo,agenzia del demanio,1,44.0,35-44,35,spid,8
abruzzo,agenzia del demanio,1,54.0,45-54,45,spid,9
abruzzo,agenzia del demanio,1,64.0,55-64,55,spid,6
abruzzo,agenzia delle dogane,0,,65- ,65,spid,5
abruzzo,agenzia delle dogane,0,34.0,25-34,25,spid,7
abruzzo,agenzia delle dogane,0,44.0,35-44,35,spid,19
abruzzo,agenzia delle dogane,0,54.0,45-54,45,spid,18
abruzzo,agenzia delle dogane,0,64.0,55-64,55,cie,3
abruzzo,agenzia delle dogane,0,64.0,55-64,55,spid,31
abruzzo,agenzia delle dogane,1,,65- ,65,spid,5
abruzzo,agenzia delle dogane,1,34.0,25-34,25,spid,22
abruzzo,agenzia delle dogane,1,44.0,35-44,35,spid,17
abruzzo,agenzia delle dogane,1,54.0,45-54,45,cie,2
abruzzo,agenzia delle dogane,1,54.0,45-54,45,spid,34
abruzzo,agenzia delle dogane,1,64.0,55-64,55,cie,5
abruzzo,agenzia delle dogane,1,64.0,55-64,55,spid,33
abruzzo,agenzia delle entrate,0,,65- ,65,cns,4
abruzzo,agenzia delle entrate,0,,65- ,65,spid,31
abruzzo,agenzia delle entrate,0,34.0,25-34,25,spid,65
abruzzo,agenzia delle entrate,0,44.0,35-44,35,cie,2
abruzzo,agenzia delle entrate,0,44.0,35-44,35,cns,2
abruzzo,agenzia delle entrate,0,44.0,35-44,35,spid,76
abruzzo,agenzia delle entrate,0,54.0,45-54,45,cie,4
abruzzo,agenzia delle entrate,0,54.0,45-54,45,cns,5
abruzzo,agenzia delle entrate,0,54.0,45-54,45,spid,126
abruzzo,agenzia delle entrate,0,64.0,55-64,55,cie,12
abruzzo,agenzia delle entrate,0,64.0,55-64,55,cns,25
abruzzo,agenzia delle entrate,0,64.0,55-64,55,spid,146
abruzzo,agenzia delle entrate,1,,65- ,65,cie,6
abruzzo,agenzia delle entrate,1,,65- ,65,cns,9
abruzzo,agenzia delle entrate,1,,65- ,65,spid,42
abruzzo,agenzia delle entrate,1,34.0,25-34,25,cie,3
abruzzo,agenzia delle entrate,1,34.0,25-34,25,spid,61
abruzzo,agenzia delle entrate,1,44.0,35-44,35,cie,5
abruzzo,agenzia delle entrate,1,44.0,35-44,35,spid,94
abruzzo,agenzia delle entrate,1,54.0,45-54,45,cie,8
abruzzo,agenzia delle entrate,1,54.0,45-54,45,cns,5
abruzzo,agenzia delle entrate,1,54.0,45-54,45,spid,106
abruzzo,agenzia delle entrate,1,64.0,55-64,55,cie,17
abruzzo,agenzia delle entrate,1,64.0,55-64,55,cns,16
abruzzo,agenzia delle entrate,1,64.0,55-64,55,spid,200
abruzzo,ansfisa - agenzia nazionale per la sicurezza delle ferrovie e delle infrastrutture stradali e autostradali,1,44.0,35-44,35,spid,4
abruzzo,avvocatura generale dello stato,0,34.0,25-34,25,spid,2
abruzzo,avvocatura generale dello stato,0,44.0,35-44,35,spid,2
abruzzo,avvocatura generale dello stato,0,54.0,45-54,45,spid,5
abruzzo,avvocatura generale dello stato,0,64.0,55-64,55,cns,3
abruzzo,avvocatura generale dello stato,1,,65- ,65,cns,2
abruzzo,avvocatura generale dello stato,1,,65- ,65,spid,2
abruzzo,avvocatura generale dello stato,1,34.0,25-34,25,spid,2
abruzzo,avvocatura generale dello stato,1,54.0,45-54,45,spid,4
abruzzo,azienda ospedaliera san camillo forlanini,0,34.0,25-34,25,spid,3
abruzzo,azienda ospedaliera san camillo forlanini,0,54.0,45-54,45,spid,4
abruzzo,azienda regionale emergenza sanitaria,0,44.0,35-44,35,spid,2
abruzzo,azienda regionale emergenza sanitaria,0,64.0,55-64,55,spid,2
abruzzo,azienda regionale emergenza sanitaria,1,44.0,35-44,35,spid,8
abruzzo,azienda regionale emergenza sanitaria,1,54.0,45-54,45,spid,3
abruzzo,azienda regionale emergenza sanitaria,1,64.0,55-64,55,spid,3
abruzzo,azienda sanitaria locale viterbo,0,34.0,25-34,25,spid,2
abruzzo,azienda sanitaria locale viterbo,1,34.0,25-34,25,spid,3
abruzzo,azienda sanitaria locale roma 2,0,34.0,25-34,25,spid,5
abruzzo,azienda sanitaria locale roma 2,0,44.0,35-44,35,spid,2
abruzzo,azienda sanitaria locale roma 2,0,54.0,45-54,45,spid,3
abruzzo,azienda sanitaria locale roma 2,0,64.0,55-64,55,spid,4
abruzzo,azienda sanitaria locale roma 2,1,44.0,35-44,35,spid,4
abruzzo,azienda sanitaria locale roma 2,1,54.0,45-54,45,spid,2
abruzzo,azienda sanitaria locale latina,1,64.0,55-64,55,spid,2
abruzzo,azienda sanitaria locale roma 5,0,34.0,25-34,25,spid,5
abruzzo,azienda sanitaria locale roma 5,0,44.0,35-44,35,spid,5
abruzzo,azienda sanitaria locale roma 5,0,54.0,45-54,45,cie,2
abruzzo,azienda sanitaria locale roma 5,0,54.0,45-54,45,spid,2
abruzzo,azienda sanitaria locale roma 5,0,64.0,55-64,55,spid,3
abruzzo,azienda sanitaria locale roma 5,1,34.0,25-34,25,spid,2
abruzzo,azienda sanitaria locale roma 5,1,54.0,45-54,45,spid,3
abruzzo,azienda sanitaria locale roma 3,0,64.0,55-64,55,spid,3
abruzzo,azienda sanitaria locale rieti,0,34.0,25-34,25,spid,10
abruzzo,azienda sanitaria locale rieti,0,44.0,35-44,35,spid,10
abruzzo,azienda sanitaria locale rieti,0,54.0,45-54,45,spid,6
abruzzo,azienda sanitaria locale rieti,0,64.0,55-64,55,spid,3
abruzzo,azienda sanitaria locale rieti,1,34.0,25-34,25,spid,2
abruzzo,azienda sanitaria locale rieti,1,44.0,35-44,35,spid,3
abruzzo,azienda sanitaria locale rieti,1,54.0,45-54,45,spid,3
abruzzo,azienda sanitaria locale rieti,1,64.0,55-64,55,spid,3
abruzzo,azienda sanitaria locale roma 4,0,44.0,35-44,35,spid,2
abruzzo,azienda sanitaria locale roma 4,0,64.0,55-64,55,spid,2
abruzzo,azienda sanitaria locale roma 4,1,44.0,35-44,35,spid,2
abruzzo,azienda sanitaria locale roma 6,0,44.0,35-44,35,spid,4
abruzzo,azienda sanitaria locale roma 6,0,64.0,55-64,55,spid,2
abruzzo,azienda sanitaria locale roma 6,1,34.0,25-34,25,spid,2
abruzzo,consiglio di stato e t.a.r.,0,,65- ,65,spid,3
abruzzo,consiglio di stato e t.a.r.,0,34.0,25-34,25,spid,2
abruzzo,consiglio di stato e t.a.r.,0,44.0,35-44,35,spid,3
abruzzo,consiglio di stato e t.a.r.,0,54.0,45-54,45,spid,5
abruzzo,consiglio di stato e t.a.r.,1,34.0,25-34,25,spid,3
abruzzo,consiglio di stato e t.a.r.,1,44.0,35-44,35,spid,3
abruzzo,consiglio di stato e t.a.r.,1,54.0,45-54,45,spid,7
abruzzo,consiglio per ric. in agricoltura e analisi economia agraria,0,54.0,45-54,45,spid,5
abruzzo,consiglio per ric. in agricoltura e analisi economia agraria,0,64.0,55-64,55,spid,5
abruzzo,consiglio per ric. in agricoltura e analisi economia agraria,1,44.0,35-44,35,spid,4
abruzzo,consiglio per ric. in agricoltura e analisi economia agraria,1,54.0,45-54,45,spid,8
abruzzo,consiglio per ric. in agricoltura e analisi economia agraria,1,64.0,55-64,55,spid,5
abruzzo,corte dei conti,0,34.0,25-34,25,spid,2
abruzzo,corte dei conti,0,44.0,35-44,35,spid,8
abruzzo,corte dei conti,0,54.0,45-54,45,spid,9
abruzzo,corte dei conti,0,64.0,55-64,55,spid,9
abruzzo,corte dei conti,1,44.0,35-44,35,spid,2
abruzzo,corte dei conti,1,54.0,45-54,45,cie,2
abruzzo,corte dei conti,1,54.0,45-54,45,spid,11
abruzzo,corte dei conti,1,64.0,55-64,55,spid,4
abruzzo,ente parco nazionale della majella,0,54.0,45-54,45,spid,6
abruzzo,ente parco nazionale della majella,0,64.0,55-64,55,spid,4
abruzzo,ente parco nazionale della majella,1,,65- ,65,spid,3
abruzzo,ente parco nazionale della majella,1,54.0,45-54,45,spid,4
abruzzo,ente parco nazionale della majella,1,64.0,55-64,55,spid,3
abruzzo,ente parco nazionale del gran sasso e monti della laga,0,54.0,45-54,45,spid,5
abruzzo,ente parco nazionale del gran sasso e monti della laga,0,64.0,55-64,55,cie,2
abruzzo,ente parco nazionale del gran sasso e monti della laga,0,64.0,55-64,55,spid,3
abruzzo,ente parco nazionale del gran sasso e monti della laga,1,54.0,45-54,45,spid,5
abruzzo,ente parco nazionale del gran sasso e monti della laga,1,64.0,55-64,55,cie,2
abruzzo,ente parco nazionale del gran sasso e monti della laga,1,64.0,55-64,55,spid,10
abruzzo,guardia di finanza,0,24.0,18-24,18,spid,141
abruzzo,guardia di finanza,0,34.0,25-34,25,cie,5
abruzzo,guardia di finanza,0,34.0,25-34,25,spid,263
abruzzo,guardia di finanza,0,44.0,35-44,35,spid,26
abruzzo,guardia di finanza,0,54.0,45-54,45,spid,9
abruzzo,guardia di finanza,1,24.0,18-24,18,cie,10
abruzzo,guardia di finanza,1,24.0,18-24,18,spid,331
abruzzo,guardia di finanza,1,34.0,25-34,25,cie,6
abruzzo,guardia di finanza,1,34.0,25-34,25,spid,568
abruzzo,guardia di finanza,1,44.0,35-44,35,cie,8
abruzzo,guardia di finanza,1,44.0,35-44,35,spid,155
abruzzo,guardia di finanza,1,54.0,45-54,45,cie,27
abruzzo,guardia di finanza,1,54.0,45-54,45,cns,2
abruzzo,guardia di finanza,1,54.0,45-54,45,spid,505
abruzzo,guardia di finanza,1,64.0,55-64,55,cie,19
abruzzo,guardia di finanza,1,64.0,55-64,55,spid,396
abruzzo,irccs lazzaro spallanzani,1,34.0,25-34,25,spid,3
abruzzo,ispettorato nazionale del lavoro,0,,65- ,65,spid,8
abruzzo,ispettorato nazionale del lavoro,0,34.0,25-34,25,spid,4
abruzzo,ispettorato nazionale del lavoro,0,44.0,35-44,35,cie,2
abruzzo,ispettorato nazionale del lavoro,0,44.0,35-44,35,spid,21
abruzzo,ispettorato nazionale del lavoro,0,54.0,45-54,45,spid,30
abruzzo,ispettorato nazionale del lavoro,0,64.0,55-64,55,cie,3
abruzzo,ispettorato nazionale del lavoro,0,64.0,55-64,55,cns,3
abruzzo,ispettorato nazionale del lavoro,0,64.0,55-64,55,spid,37
abruzzo,ispettorato nazionale del lavoro,1,,65- ,65,spid,6
abruzzo,ispettorato nazionale del lavoro,1,34.0,25-34,25,spid,8
abruzzo,ispettorato nazionale del lavoro,1,44.0,35-44,35,spid,14
abruzzo,ispettorato nazionale del lavoro,1,54.0,45-54,45,spid,27
abruzzo,ispettorato nazionale del lavoro,1,64.0,55-64,55,cie,2
abruzzo,ispettorato nazionale del lavoro,1,64.0,55-64,55,cns,2
abruzzo,ispettorato nazionale del lavoro,1,64.0,55-64,55,spid,16
abruzzo,istituto superiore di sanita',0,44.0,35-44,35,spid,2
abruzzo,istituto superiore di sanita',0,64.0,55-64,55,spid,3
abruzzo,istituto superiore di sanita',1,64.0,55-64,55,spid,2
abruzzo,ministero degli affari esteri e della cooperazione internazionale,0,,65- ,65,spid,2
abruzzo,ministero degli affari esteri e della cooperazione internazionale,0,34.0,25-34,25,spid,5
abruzzo,ministero degli affari esteri e della cooperazione internazionale,0,54.0,45-54,45,spid,2
abruzzo,ministero degli affari esteri e della cooperazione internazionale,1,34.0,25-34,25,spid,4
abruzzo,ministero degli affari esteri e della cooperazione internazionale,1,44.0,35-44,35,spid,2
abruzzo,ministero degli affari esteri e della cooperazione internazionale,1,54.0,45-54,45,spid,5
abruzzo,ministero degli affari esteri e della cooperazione internazionale,1,64.0,55-64,55,spid,4
abruzzo,ministero del lavoro e delle politiche sociali,0,44.0,35-44,35,spid,7
abruzzo,ministero del lavoro e delle politiche sociali,0,54.0,45-54,45,spid,3
abruzzo,ministero del lavoro e delle politiche sociali,1,44.0,35-44,35,spid,2
abruzzo,ministero dell'agricoltura  della sovranita' alimentare e delle foreste,0,64.0,55-64,55,cns,2
abruzzo,ministero dell'agricoltura  della sovranita' alimentare e delle foreste,0,64.0,55-64,55,spid,3
abruzzo,ministero dell'agricoltura  della sovranita' alimentare e delle foreste,1,,65- ,65,spid,2
abruzzo,ministero dell'agricoltura  della sovranita' alimentare e delle foreste,1,44.0,35-44,35,spid,2
abruzzo,ministero dell'agricoltura  della sovranita' alimentare e delle foreste,1,54.0,45-54,45,spid,5
abruzzo,ministero dell'agricoltura  della sovranita' alimentare e delle foreste,1,64.0,55-64,55,spid,4
abruzzo,ministero dell'ambiente e della sicurezza energetica,0,44.0,35-44,35,spid,3
abruzzo,ministero dell'economia e finanze,0,,65- ,65,spid,7
abruzzo,ministero dell'economia e finanze,0,34.0,25-34,25,cns,6
abruzzo,ministero dell'economia e finanze,0,34.0,25-34,25,spid,11
abruzzo,ministero dell'economia e finanze,0,44.0,35-44,35,cns,8
abruzzo,ministero dell'economia e finanze,0,44.0,35-44,35,spid,9
abruzzo,ministero dell'economia e finanze,0,54.0,45-54,45,cns,8
abruzzo,ministero dell'economia e finanze,0,54.0,45-54,45,spid,26
abruzzo,ministero dell'economia e finanze,0,64.0,55-64,55,cns,20
abruzzo,ministero dell'economia e finanze,0,64.0,55-64,55,spid,21
abruzzo,ministero dell'economia e finanze,1,,65- ,65,cns,3
abruzzo,ministero dell'economia e finanze,1,,65- ,65,spid,13
abruzzo,ministero dell'economia e finanze,1,34.0,25-34,25,cns,2
abruzzo,ministero dell'economia e finanze,1,34.0,25-34,25,spid,11
abruzzo,ministero dell'economia e finanze,1,44.0,35-44,35,cns,5
abruzzo,ministero dell'economia e finanze,1,44.0,35-44,35,spid,12
abruzzo,ministero dell'economia e finanze,1,54.0,45-54,45,cie,3
abruzzo,ministero dell'economia e finanze,1,54.0,45-54,45,cns,6
abruzzo,ministero dell'economia e finanze,1,54.0,45-54,45,spid,19
abruzzo,ministero dell'economia e finanze,1,64.0,55-64,55,cie,3
abruzzo,ministero dell'economia e finanze,1,64.0,55-64,55,cns,16
abruzzo,ministero dell'economia e finanze,1,64.0,55-64,55,spid,41
abruzzo,ministero dell'interno,0,,65- ,65,cie,2
abruzzo,ministero dell'interno,0,,65- ,65,spid,19
abruzzo,ministero dell'interno,0,24.0,18-24,18,spid,29
abruzzo,ministero dell'interno,0,34.0,25-34,25,spid,84
abruzzo,ministero dell'interno,0,34.0,25-34,25,spid,30
abruzzo,ministero dell'interno,0,44.0,35-44,35,spid,27
abruzzo,ministero dell'interno,0,44.0,35-44,35,spid,30
abruzzo,ministero dell'interno,0,54.0,45-54,45,cie,2
abruzzo,ministero dell'interno,0,54.0,45-54,45,cie,8
abruzzo,ministero dell'interno,0,54.0,45-54,45,cns,2
abruzzo,ministero dell'interno,0,54.0,45-54,45,spid,90
abruzzo,ministero dell'interno,0,54.0,45-54,45,spid,28
abruzzo,ministero dell'interno,0,64.0,55-64,55,cie,10
abruzzo,ministero dell'interno,0,64.0,55-64,55,cie,14
abruzzo,ministero dell'interno,0,64.0,55-64,55,cns,3
abruzzo,ministero dell'interno,0,64.0,55-64,55,cns,25
abruzzo,ministero dell'interno,0,64.0,55-64,55,spid,122
abruzzo,ministero dell'interno,0,64.0,55-64,55,spid,139
abruzzo,ministero dell'interno,1,,65- ,65,spid,2
abruzzo,ministero dell'interno,1,,65- ,65,spid,29
abruzzo,ministero dell'interno,1,24.0,18-24,18,cie,4
abruzzo,ministero dell'interno,1,24.0,18-24,18,spid,17
abruzzo,ministero dell'interno,1,24.0,18-24,18,spid,91
abruzzo,ministero dell'interno,1,34.0,25-34,25,cie,4
abruzzo,ministero dell'interno,1,34.0,25-34,25,spid,271
abruzzo,ministero dell'interno,1,34.0,25-34,25,spid,121
abruzzo,ministero dell'interno,1,44.0,35-44,35,cie,9
abruzzo,ministero dell'interno,1,44.0,35-44,35,cie,7
abruzzo,ministero dell'interno,1,44.0,35-44,35,spid,315
abruzzo,ministero dell'interno,1,44.0,35-44,35,spid,248
abruzzo,ministero dell'interno,1,54.0,45-54,45,cie,7
abruzzo,ministero dell'interno,1,54.0,45-54,45,cie,29
abruzzo,ministero dell'interno,1,54.0,45-54,45,cns,9
abruzzo,ministero dell'interno,1,54.0,45-54,45,cns,4
abruzzo,ministero dell'interno,1,54.0,45-54,45,spid,323
abruzzo,ministero dell'interno,1,54.0,45-54,45,spid,588
abruzzo,ministero dell'interno,1,64.0,55-64,55,cie,30
abruzzo,ministero dell'interno,1,64.0,55-64,55,cie,20
abruzzo,ministero dell'interno,1,64.0,55-64,55,cns,8
abruzzo,ministero dell'interno,1,64.0,55-64,55,cns,11
abruzzo,ministero dell'interno,1,64.0,55-64,55,spid,358
abruzzo,ministero dell'interno,1,64.0,55-64,55,spid,413
abruzzo,ministero dell'istruzione e del merito,0,,65- ,65,cie,28
abruzzo,ministero dell'istruzione e del merito,0,,65- ,65,federation,64
abruzzo,ministero dell'istruzione e del merito,0,,65- ,65,spid,845
abruzzo,ministero dell'istruzione e del merito,0,24.0,18-24,18,cie,7
abruzzo,ministero dell'istruzione e del merito,0,24.0,18-24,18,spid,73
abruzzo,ministero dell'istruzione e del merito,0,34.0,25-34,25,cie,36
abruzzo,ministero dell'istruzione e del merito,0,34.0,25-34,25,federation,6
abruzzo,ministero dell'istruzione e del merito,0,34.0,25-34,25,spid,1893
abruzzo,ministero dell'istruzione e del merito,0,44.0,35-44,35,cie,95
abruzzo,ministero dell'istruzione e del merito,0,44.0,35-44,35,federation,49
abruzzo,ministero dell'istruzione e del merito,0,44.0,35-44,35,spid,3989
abruzzo,ministero dell'istruzione e del merito,0,54.0,45-54,45,cie,138
abruzzo,ministero dell'istruzione e del merito,0,54.0,45-54,45,cns,2
abruzzo,ministero dell'istruzione e del merito,0,54.0,45-54,45,federation,127
abruzzo,ministero dell'istruzione e del merito,0,54.0,45-54,45,spid,5606
abruzzo,ministero dell'istruzione e del merito,0,64.0,55-64,55,cie,225
abruzzo,ministero dell'istruzione e del merito,0,64.0,55-64,55,cns,5
abruzzo,ministero dell'istruzione e del merito,0,64.0,55-64,55,federation,348
abruzzo,ministero dell'istruzione e del merito,0,64.0,55-64,55,spid,5624
abruzzo,ministero dell'istruzione e del merito,1,,65- ,65,cie,19
abruzzo,ministero dell'istruzione e del merito,1,,65- ,65,federation,12
abruzzo,ministero dell'istruzione e del merito,1,,65- ,65,spid,304
abruzzo,ministero dell'istruzione e del merito,1,24.0,18-24,18,cie,2
abruzzo,ministero dell'istruzione e del merito,1,24.0,18-24,18,spid,22
abruzzo,ministero dell'istruzione e del merito,1,34.0,25-34,25,cie,25
abruzzo,ministero dell'istruzione e del merito,1,34.0,25-34,25,spid,615
abruzzo,ministero dell'istruzione e del merito,1,44.0,35-44,35,cie,21
abruzzo,ministero dell'istruzione e del merito,1,44.0,35-44,35,federation,12
abruzzo,ministero dell'istruzione e del merito,1,44.0,35-44,35,spid,1027
abruzzo,ministero dell'istruzione e del merito,1,54.0,45-54,45,cie,42
abruzzo,ministero dell'istruzione e del merito,1,54.0,45-54,45,federation,34
abruzzo,ministero dell'istruzione e del merito,1,54.0,45-54,45,spid,1247
abruzzo,ministero dell'istruzione e del merito,1,64.0,55-64,55,cie,80
abruzzo,ministero dell'istruzione e del merito,1,64.0,55-64,55,cns,3
abruzzo,ministero dell'istruzione e del merito,1,64.0,55-64,55,federation,55
abruzzo,ministero dell'istruzione e del merito,1,64.0,55-64,55,spid,1470
abruzzo,ministero della cultura,0,,65- ,65,spid,12
abruzzo,ministero della cultura,0,34.0,25-34,25,spid,18
abruzzo,ministero della cultura,0,44.0,35-44,35,spid,45
abruzzo,ministero della cultura,0,54.0,45-54,45,cie,3
abruzzo,ministero della cultura,0,54.0,45-54,45,spid,28
abruzzo,ministero della cultura,0,64.0,55-64,55,cie,3
abruzzo,ministero della cultura,0,64.0,55-64,55,spid,42
abruzzo,ministero della cultura,1,,65- ,65,spid,4
abruzzo,ministero della cultura,1,34.0,25-34,25,cie,2
abruzzo,ministero della cultura,1,34.0,25-34,25,spid,17
abruzzo,ministero della cultura,1,44.0,35-44,35,spid,23
abruzzo,ministero della cultura,1,54.0,45-54,45,spid,21
abruzzo,ministero della cultura,1,64.0,55-64,55,cie,4
abruzzo,ministero della cultura,1,64.0,55-64,55,spid,19
abruzzo,ministero della difesa,0,24.0,18-24,18,cie,2
abruzzo,ministero della difesa,0,24.0,18-24,18,spid,11
abruzzo,ministero della difesa,0,24.0,18-24,18,spid,96
abruzzo,ministero della difesa,0,34.0,25-34,25,spid,67
abruzzo,ministero della difesa,0,34.0,25-34,25,spid,16
abruzzo,ministero della difesa,0,44.0,35-44,35,cns,6
abruzzo,ministero della difesa,0,44.0,35-44,35,spid,15
abruzzo,ministero della difesa,0,44.0,35-44,35,spid,59
abruzzo,ministero della difesa,0,44.0,35-44,35,spid,11
abruzzo,ministero della difesa,0,54.0,45-54,45,cns,6
abruzzo,ministero della difesa,0,54.0,45-54,45,cns,2
abruzzo,ministero della difesa,0,54.0,45-54,45,spid,4
abruzzo,ministero della difesa,0,54.0,45-54,45,spid,11
abruzzo,ministero della difesa,0,54.0,45-54,45,spid,15
abruzzo,ministero della difesa,0,64.0,55-64,55,cns,8
abruzzo,ministero della difesa,0,64.0,55-64,55,spid,17
abruzzo,ministero della difesa,1,,65- ,65,spid,11
abruzzo,ministero della difesa,1,24.0,18-24,18,cie,13
abruzzo,ministero della difesa,1,24.0,18-24,18,spid,308
abruzzo,ministero della difesa,1,24.0,18-24,18,spid,10
abruzzo,ministero della difesa,1,34.0,25-34,25,cie,8
abruzzo,ministero della difesa,1,34.0,25-34,25,cns,2
abruzzo,ministero della difesa,1,34.0,25-34,25,spid,4
abruzzo,ministero della difesa,1,34.0,25-34,25,spid,264
abruzzo,ministero della difesa,1,34.0,25-34,25,spid,25
abruzzo,ministero della difesa,1,44.0,35-44,35,cie,25
abruzzo,ministero della difesa,1,44.0,35-44,35,cie,3
abruzzo,ministero della difesa,1,44.0,35-44,35,cns,41
abruzzo,ministero della difesa,1,44.0,35-44,35,cns,3
abruzzo,ministero della difesa,1,44.0,35-44,35,cns,6
abruzzo,ministero della difesa,1,44.0,35-44,35,spid,97
abruzzo,ministero della difesa,1,44.0,35-44,35,spid,15
abruzzo,ministero della difesa,1,44.0,35-44,35,spid,547
abruzzo,ministero della difesa,1,54.0,45-54,45,cie,22
abruzzo,ministero della difesa,1,54.0,45-54,45,cie,8
abruzzo,ministero della difesa,1,54.0,45-54,45,cns,5
abruzzo,ministero della difesa,1,54.0,45-54,45,cns,10
abruzzo,ministero della difesa,1,54.0,45-54,45,cns,89
abruzzo,ministero della difesa,1,54.0,45-54,45,spid,435
abruzzo,ministero della difesa,1,54.0,45-54,45,spid,33
abruzzo,ministero della difesa,1,54.0,45-54,45,spid,147
abruzzo,ministero della difesa,1,64.0,55-64,55,cie,5
abruzzo,ministero della difesa,1,64.0,55-64,55,cie,8
abruzzo,ministero della difesa,1,64.0,55-64,55,cns,34
abruzzo,ministero della difesa,1,64.0,55-64,55,cns,15
abruzzo,ministero della difesa,1,64.0,55-64,55,cns,2
abruzzo,ministero della difesa,1,64.0,55-64,55,spid,122
abruzzo,ministero della difesa,1,64.0,55-64,55,spid,25
abruzzo,ministero della difesa,1,64.0,55-64,55,spid,38
abruzzo,ministero della giustizia,0,,65- ,65,cie,4
abruzzo,ministero della giustizia,0,,65- ,65,cns,8
abruzzo,ministero della giustizia,0,,65- ,65,spid,61
abruzzo,ministero della giustizia,0,24.0,18-24,18,spid,10
abruzzo,ministero della giustizia,0,34.0,25-34,25,cie,2
abruzzo,ministero della giustizia,0,34.0,25-34,25,cns,4
abruzzo,ministero della giustizia,0,34.0,25-34,25,spid,205
abruzzo,ministero della giustizia,0,44.0,35-44,35,cie,4
abruzzo,ministero della giustizia,0,44.0,35-44,35,cns,4
abruzzo,ministero della giustizia,0,44.0,35-44,35,spid,177
abruzzo,ministero della giustizia,0,54.0,45-54,45,cie,8
abruzzo,ministero della giustizia,0,54.0,45-54,45,cns,19
abruzzo,ministero della giustizia,0,54.0,45-54,45,spid,242
abruzzo,ministero della giustizia,0,64.0,55-64,55,cie,19
abruzzo,ministero della giustizia,0,64.0,55-64,55,cns,42
abruzzo,ministero della giustizia,0,64.0,55-64,55,spid,253
abruzzo,ministero della giustizia,1,,65- ,65,cie,4
abruzzo,ministero della giustizia,1,,65- ,65,cns,5
abruzzo,ministero della giustizia,1,,65- ,65,spid,31
abruzzo,ministero della giustizia,1,24.0,18-24,18,spid,14
abruzzo,ministero della giustizia,1,34.0,25-34,25,cns,2
abruzzo,ministero della giustizia,1,34.0,25-34,25,spid,154
abruzzo,ministero della giustizia,1,44.0,35-44,35,cie,4
abruzzo,ministero della giustizia,1,44.0,35-44,35,spid,156
abruzzo,ministero della giustizia,1,54.0,45-54,45,cie,16
abruzzo,ministero della giustizia,1,54.0,45-54,45,cns,8
abruzzo,ministero della giustizia,1,54.0,45-54,45,spid,395
abruzzo,ministero della giustizia,1,64.0,55-64,55,cie,28
abruzzo,ministero della giustizia,1,64.0,55-64,55,cns,23
abruzzo,ministero della giustizia,1,64.0,55-64,55,spid,460
abruzzo,ministero della salute,0,34.0,25-34,25,spid,2
abruzzo,ministero della salute,0,54.0,45-54,45,spid,4
abruzzo,ministero della salute,0,64.0,55-64,55,spid,3
abruzzo,ministero della salute,1,34.0,25-34,25,spid,3
abruzzo,ministero della salute,1,54.0,45-54,45,spid,3
abruzzo,ministero della salute,1,64.0,55-64,55,spid,5
abruzzo,ministero delle imprese e del made in italy,0,44.0,35-44,35,spid,4
abruzzo,ministero delle imprese e del made in italy,0,54.0,45-54,45,spid,8
abruzzo,ministero delle imprese e del made in italy,0,64.0,55-64,55,cie,2
abruzzo,ministero delle imprese e del made in italy,0,64.0,55-64,55,spid,3
abruzzo,ministero delle imprese e del made in italy,1,,65- ,65,spid,2
abruzzo,ministero delle imprese e del made in italy,1,34.0,25-34,25,spid,4
abruzzo,ministero delle imprese e del made in italy,1,44.0,35-44,35,spid,9
abruzzo,ministero delle imprese e del made in italy,1,54.0,45-54,45,spid,5
abruzzo,ministero delle imprese e del made in italy,1,64.0,55-64,55,spid,7
abruzzo,ministero delle infrastrutture e dei trasporti,0,,65- ,65,spid,3
abruzzo,ministero delle infrastrutture e dei trasporti,0,34.0,25-34,25,spid,4
abruzzo,ministero delle infrastrutture e dei trasporti,0,44.0,35-44,35,cie,3
abruzzo,ministero delle infrastrutture e dei trasporti,0,44.0,35-44,35,spid,22
abruzzo,ministero delle infrastrutture e dei trasporti,0,54.0,45-54,45,cie,3
abruzzo,ministero delle infrastrutture e dei trasporti,0,54.0,45-54,45,spid,23
abruzzo,ministero delle infrastrutture e dei trasporti,0,64.0,55-64,55,cie,4
abruzzo,ministero delle infrastrutture e dei trasporti,0,64.0,55-64,55,spid,18
abruzzo,ministero delle infrastrutture e dei trasporti,1,,65- ,65,spid,8
abruzzo,ministero delle infrastrutture e dei trasporti,1,34.0,25-34,25,spid,4
abruzzo,ministero delle infrastrutture e dei trasporti,1,44.0,35-44,35,spid,34
abruzzo,ministero delle infrastrutture e dei trasporti,1,54.0,45-54,45,cie,4
abruzzo,ministero delle infrastrutture e dei trasporti,1,54.0,45-54,45,spid,24
abruzzo,ministero delle infrastrutture e dei trasporti,1,64.0,55-64,55,cie,5
